#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
 221 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.008-0.008]
 222 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.008-0.008]
 223 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.008-0.008]
 224 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 225 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.008-0.008]
 226 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 227 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.008-0.008]
 228 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.008-0.008]
 229 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.008-0.008]
 230 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.008-0.008]
 231 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.008-0.008]
 232 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.008-0.008]
 233 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.008-0.008]
 234 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 235 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.008-0.008]
 236 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.008-0.008]
 237 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.008-0.008]
 238 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.008-0.008]
 239 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.008-0.010]
 240 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.010]
 241 3.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.008-0.010]
 242 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.010]
 243 3.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.008-0.010]
 244 2.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.008-0.010]
 245 1.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.008-0.010]
 246 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.008-0.010]
 247 5.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.008-0.010]
 248 3.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.008-0.010]
 249 7.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.008-0.010]
 250 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.010]
 251 3.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.008-0.010]
 252 3.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.008-0.010]
 253 9.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.008-0.010]
 254 12.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.008-0.010]
 255 8.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
 0 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 1 10.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.001-0.002]
 2 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 3 10.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.001-0.002]
 4 5.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.001-0.002]
 5 3.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.001-0.002]
 6 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.001-0.002]
 7 6.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.001-0.002]
 8 3.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.001-0.002]
 9 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.001-0.002]
 10 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 11 10.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.001-0.002]
 12 8.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.001-0.002]
 13 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.001-0.002]
 14 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.001-0.002]
 15 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.002-0.002]
 16 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.002-0.002]
 17 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.002-0.002]
 18 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.002-0.002]
 19 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.002-0.002]
 20 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.002-0.002]
 21 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.002-0.002]
 22 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.002-0.002]
 23 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.002-0.002]
 24 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.002-0.002]
 25 0.000000 10000
